id;type_bon;quantite_livre;quantite_commande;date_creation;etat
1;Sortie;65920;29966;2021-06-06T18:28:42;false
2;Sortie;1928;97299;2021-06-06T12:06:11;true
3;Sortie;16529;23288;2021-06-06T11:32:10;true
4;Entree;6350;55953;2021-06-06T02:12:20;true
5;Entree;40866;23544;2021-06-06T15:04:02;false
6;Entree;39368;37880;2021-06-06T04:01:38;false
7;Sortie;11335;50375;2021-06-06T14:05:36;true
8;Sortie;27257;15425;2021-06-06T03:59:03;false
9;Sortie;87343;43378;2021-06-06T18:45:54;false
10;Sortie;51468;97603;2021-06-06T16:52:43;true
