id;reference;description;prix_unitaire;type_matiere;quantite;etat_matiere;jhi_group;photo;photo_content_type
1;orchestrate;navigating Riel;74368;SCSI Data;68472;Games;false;../fake-data/blob/hipster.png;image/png
2;Chips Kids;homogeneous Concrete;9462;Persevering;67654;connect parsing;true;../fake-data/blob/hipster.png;image/png
3;Fish Rial Minor;Gorgeous;2524;Incredible system;55630;compressing;true;../fake-data/blob/hipster.png;image/png
4;deposit Krona AI;Rubber;90900;Concrete Loan adapter;20261;microchip copy;true;../fake-data/blob/hipster.png;image/png
5;optical invoice Ergonomic;Salad solid;41826;olive Movies revolutionary;90156;Bhutan Salad global;false;../fake-data/blob/hipster.png;image/png
6;Georgia Gloves Colorado;Avon;56448;Plastic Tools;95703;Tasty Automotive;true;../fake-data/blob/hipster.png;image/png
7;Berkshire functionalities reboot;Marketing maroon Liaison;48980;Assistant withdrawal;50617;Market reboot Customer;false;../fake-data/blob/hipster.png;image/png
8;Sports;Minnesota;64683;Accounts Flat Mouse;58463;Metal haptic Florida;true;../fake-data/blob/hipster.png;image/png
9;IB Optimization aggregate;architectures Peso circuit;90262;Optimization;77353;Rubber Practical;false;../fake-data/blob/hipster.png;image/png
10;microchip Indonesia;generate Macao;97405;Berkshire;53593;real-time enable;true;../fake-data/blob/hipster.png;image/png
