id;date_debut;date_fin;nom_tache;duration
1;2021-06-06T08:17:43;2021-06-06T05:11:20;Berkshire;3220
2;2021-06-06T12:03:22;2021-06-06T10:27:16;bus Gloves;46799
3;2021-06-06T22:58:31;2021-06-06T10:21:04;programming;71630
4;2021-06-06T11:03:30;2021-06-06T10:13:30;Planner;6062
5;2021-06-06T02:55:58;2021-06-06T23:09:52;Facilitator Profound;1364
6;2021-06-06T10:30:04;2021-06-06T06:44:35;deposit engage;21274
7;2021-06-06T05:47:49;2021-06-06T15:19:58;Customer;4501
8;2021-06-06T11:38:39;2021-06-06T19:37:36;back-end IB Burundi;53952
9;2021-06-07T00:02:24;2021-06-06T20:13:03;withdrawal;284
10;2021-06-06T07:48:20;2021-06-06T03:01:31;mobile Corners;83966
