id;type;type_panne;date_post;description;etat_traite;date_lancement;id_pers
1;enterprise best-of-breed;51733;48205;Sausages;true;2021-06-06T07:17:10;53480
2;enhance invoice;75923;54206;Concrete Money feed;true;2021-06-06T12:12:58;47975
3;reciprocal Bedfordshire deposit;4303;47473;Analyst Guernsey Soft;true;2021-06-06T00:39:21;39622
4;Associate USB Oregon;15289;36284;mobile;true;2021-06-06T07:35:09;45309
5;Bedfordshire Austria holistic;56173;34775;Developer Small modular;false;2021-06-06T11:07:11;80284
6;support;24262;10143;synthesizing Automotive deposit;true;2021-06-06T00:20:33;21946
7;Rustic Gorgeous;22297;83903;Direct quantifying;false;2021-06-06T01:13:51;16124
8;Benin Architect;15023;30978;indigo withdrawal;true;2021-06-06T08:05:33;88717
9;Chief;43702;52190;Avon;false;2021-06-06T15:58:49;13398
10;Global Norway;49417;88104;Point;true;2021-06-06T23:23:44;9157
