id;quantite_affecter;type_attribution;id_pers;date_attribution
1;28661;ReAffectation;16572;2021-06-06T18:47:57
2;88157;ReAffectation;15201;2021-06-06T09:02:32
3;85903;Affectation;5973;2021-06-06T02:51:55
4;34748;ReAffectation;9327;2021-06-06T01:27:49
5;73054;Affectation;76398;2021-06-06T15:39:44
6;82413;ReAffectation;44124;2021-06-06T15:16:03
7;75927;Affectation;73552;2021-06-06T19:36:05
8;84995;Affectation;8212;2021-06-06T16:39:24
9;26706;ReAffectation;13092;2021-06-06T23:36:38
10;83398;ReAffectation;16926;2021-06-06T06:20:08
