id;nom_batiment;nbr_piece;designation;surface;etat_general;description;nombre_salle
1;red Buckinghamshire;Plastic;Namibia Kansas;31214;true;Fish compressing Administrator;203
2;Rustic digital;De-engineered ivory;system;12974;false;client-server conglomeration;60630
3;Unbranded;deliver Argentine groupware;payment;49971;false;content;61853
4;turn-key Plaza;leverage payment;Electronics;24460;true;Concrete;52385
5;Buckinghamshire Usability;Jersey transmitting Pa'anga;XSS Outdoors;13015;false;Money;87534
6;Forward;Intranet Investment;Shirt payment Towels;27960;true;mobile success;14450
7;compress Islands background;Security e-enable Regional;Coordinator models;14593;true;Streamlined Palau;47065
8;Shore monitor Savings;Cheese New;virtual salmon Avon;95868;false;neutral Licensed;82524
9;withdrawal Sleek Total;Group engage;Saudi FTP directional;567;false;payment Agent;81713
10;Future Chips Chips;Tools;scalable IB Fresh;71876;true;Associate;23883
