id;nom_corps;gros_oeuvre;description_gros_oeuvre;second_oeuvre;description_second_oeuvre;oservation;etat_corps
1;grey well-modulated productivity;overriding global programming;invoice Island Computers;invoice;Creative Radial;true;true
2;action-items;Republic Concrete Account;array Poland;Pizza;transmitter;false;false
3;Granite;niches toolset;XML;copying Future;Jersey Handcrafted Home;true;true
4;Exclusive Dollar;Fresh;Refined Soap blue;Concrete Program alarm;hacking;false;true
5;conglomeration up;Pre-emptive data-warehouse turn-key;Concrete Liaison;Licensed;loyalty overriding transmit;false;true
6;parsing;ADP Brand Diverse;XSS Branding;Rhode purple;Fantastic Kids empower;true;false
7;Avon;Chips Overpass Borders;Fantastic;services optimal;calculating SMTP;true;false
8;transmit high-level;Infrastructure;Principal Tasty;homogeneous;bi-directional Maine;true;true
9;Chief orchestration;purple Agent;Factors;Falls implementation Towels;array withdrawal Decentralized;false;false
10;Real;orange Bedfordshire;Paradigm Direct;Customer-focused;back;true;false
