id;date_debut;date_fin;nom_tache;duration
1;2021-06-06T08:31:41;2021-06-06T05:25:18;Berkshire;3220
2;2021-06-06T12:17:20;2021-06-06T10:41:14;bus Gloves;46799
3;2021-06-06T23:12:29;2021-06-06T10:35:02;programming;71630
4;2021-06-06T11:17:28;2021-06-06T10:27:28;Planner;6062
5;2021-06-06T03:09:56;2021-06-06T23:23:50;Facilitator Profound;1364
6;2021-06-06T10:44:02;2021-06-06T06:58:33;deposit engage;21274
7;2021-06-06T06:01:47;2021-06-06T15:33:56;Customer;4501
8;2021-06-06T11:52:37;2021-06-06T19:51:34;back-end IB Burundi;53952
9;2021-06-07T00:16:22;2021-06-06T20:27:01;withdrawal;284
10;2021-06-06T08:02:18;2021-06-06T03:15:29;mobile Corners;83966
